# Icepak 数据集样本清单 (100 组, 由 功率清单100组.md 生成)
# 每行：报告文件路径  6个die功率(Compute_1, Compute_2, HBM_1, HBM_2, HBM_3, HBM_4)
# 测试集(固定): report.16 19 22 25 26 27 59 80 86 93
C:/Users/25164/Desktop/3d5_chip/数据集/report.24  0.11 0.22 0.05 0.05 0.04 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.25  0.13 0.16 0.07 0.11 0.05 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.26  0.24 0.32 0.11 0.11 0.06 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.27  0.19 0.32 0.12 0.05 0.05 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.28  0.16 0.22 0.09 0.06 0.04 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.29  0.19 0.24 0.12 0.1 0.08 0.09
C:/Users/25164/Desktop/3d5_chip/数据集/report.30  0.27 0.11 0.11 0.1 0.11 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.31  0.2 0.2 0.05 0.09 0.04 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.32  0.15 0.14 0.07 0.04 0.04 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.33  0.13 0.19 0.04 0.11 0.09 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.34  0.16 0.19 0.07 0.05 0.11 0.12
C:/Users/25164/Desktop/3d5_chip/数据集/report.35  0.22 0.22 0.05 0.05 0.07 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.36  0.31 0.14 0.04 0.12 0.08 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.37  0.24 0.11 0.08 0.12 0.11 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.38  0.17 0.19 0.05 0.1 0.08 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.39  0.18 0.16 0.1 0.12 0.11 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.40  0.3 0.28 0.06 0.08 0.07 0.04
C:/Users/25164/Desktop/3d5_chip/数据集/report.41  0.11 0.17 0.06 0.1 0.12 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.42  0.33 0.35 0.12 0.07 0.06 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.43  0.15 0.15 0.09 0.11 0.11 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.44  0.26 0.3 0.05 0.09 0.11 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.45  0.29 0.22 0.05 0.1 0.07 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.46  0.34 0.2 0.07 0.12 0.1 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.47  0.13 0.14 0.11 0.1 0.05 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.48  0.35 0.26 0.07 0.08 0.05 0.04
C:/Users/25164/Desktop/3d5_chip/数据集/report.49  0.34 0.26 0.08 0.11 0.07 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.50  0.31 0.15 0.06 0.06 0.06 0.09
C:/Users/25164/Desktop/3d5_chip/数据集/report.51  0.16 0.2 0.05 0.11 0.07 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.52  0.25 0.33 0.07 0.11 0.08 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.53  0.23 0.1 0.08 0.05 0.04 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.54  0.14 0.22 0.1 0.08 0.07 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.55  0.24 0.3 0.05 0.08 0.06 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.56  0.29 0.23 0.08 0.1 0.11 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.57  0.25 0.23 0.08 0.1 0.08 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.58  0.22 0.34 0.1 0.11 0.12 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.59  0.24 0.34 0.11 0.05 0.05 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.60  0.12 0.16 0.05 0.09 0.1 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.61  0.14 0.28 0.09 0.05 0.11 0.12
C:/Users/25164/Desktop/3d5_chip/数据集/report.62  0.15 0.34 0.07 0.08 0.12 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.63  0.14 0.21 0.08 0.07 0.06 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.64  0.28 0.1 0.08 0.08 0.04 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.65  0.26 0.23 0.05 0.12 0.1 0.12
C:/Users/25164/Desktop/3d5_chip/数据集/report.66  0.13 0.17 0.04 0.1 0.06 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.67  0.21 0.33 0.11 0.06 0.05 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.68  0.24 0.28 0.05 0.04 0.1 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.69  0.12 0.33 0.09 0.1 0.05 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.70  0.12 0.32 0.08 0.07 0.08 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.71  0.17 0.13 0.08 0.06 0.05 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.72  0.11 0.15 0.06 0.06 0.1 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.73  0.23 0.14 0.07 0.04 0.06 0.04
C:/Users/25164/Desktop/3d5_chip/数据集/report.74  0.51 0.14 0.06 0.1 0.22 0.26
C:/Users/25164/Desktop/3d5_chip/数据集/report.75  0.48 0.14 0.05 0.04 0.09 0.28
C:/Users/25164/Desktop/3d5_chip/数据集/report.76  0.58 0.1 0.06 0.07 0.05 0.03
C:/Users/25164/Desktop/3d5_chip/数据集/report.77  0.23 0.2 0.23 0.22 0.23 0.25
C:/Users/25164/Desktop/3d5_chip/数据集/report.78  0.13 0.45 0.05 0.05 0.08 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.79  0.59 0.13 0.05 0.03 0.05 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.80  0.52 0.14 0.08 0.04 0.09 0.18
C:/Users/25164/Desktop/3d5_chip/数据集/report.81  0.54 0.22 0.08 0.07 0.04 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.82  0.49 0.15 0.1 0.04 0.08 0.25
C:/Users/25164/Desktop/3d5_chip/数据集/report.83  0.46 0.16 0.18 0.09 0.09 0.09
C:/Users/25164/Desktop/3d5_chip/数据集/report.84  0.16 0.59 0.05 0.05 0.03 0.03
C:/Users/25164/Desktop/3d5_chip/数据集/report.85  0.52 0.16 0.25 0.09 0.08 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.86  0.14 0.11 0.23 0.27 0.22 0.27
C:/Users/25164/Desktop/3d5_chip/数据集/report.87  0.17 0.16 0.25 0.27 0.28 0.26
C:/Users/25164/Desktop/3d5_chip/数据集/report.88  0.11 0.47 0.04 0.07 0.05 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.89  0.52 0.15 0.08 0.03 0.04 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.90  0.48 0.16 0.08 0.1 0.07 0.18
C:/Users/25164/Desktop/3d5_chip/数据集/report.91  0.11 0.18 0.3 0.3 0.24 0.29
C:/Users/25164/Desktop/3d5_chip/数据集/report.92  0.11 0.46 0.07 0.04 0.05 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.93  0.48 0.13 0.27 0.06 0.09 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.94  0.16 0.21 0.24 0.24 0.21 0.23
C:/Users/25164/Desktop/3d5_chip/数据集/report.95  0.56 0.37 0.04 0.08 0.07 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.96  0.49 0.21 0.05 0.07 0.03 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.97  0.58 0.26 0.03 0.06 0.06 0.04
C:/Users/25164/Desktop/3d5_chip/数据集/report.98  0.52 0.26 0.07 0.07 0.05 0.03
C:/Users/25164/Desktop/3d5_chip/数据集/report.99  0.24 0.24 0.25 0.27 0.2 0.27
C:/Users/25164/Desktop/3d5_chip/数据集/report.100  0.19 0.12 0.29 0.25 0.29 0.26
